Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Incoming,Unavailable,Committed,Available,On hand
c35540,Men's Generation ZERØGRAND II Sneakers,Color,Moonlit Ocean-Navy Ink,Width,Medium,Size,11.5,194736776343,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c35540,Men's Generation ZERØGRAND II Sneakers,Color,Moonlit Ocean-Navy Ink,Width,Medium,Size,12,194736776350,,,Bambu City Center,0,0,0,0,0
c35540,Men's Generation ZERØGRAND II Sneakers,Color,Moonlit Ocean-Navy Ink,Width,Medium,Size,12,194736776350,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c35540,Men's Generation ZERØGRAND II Sneakers,Color,Moonlit Ocean-Navy Ink,Width,Medium,Size,13,194736776367,,,Bambu City Center,0,0,0,0,0
c35540,Men's Generation ZERØGRAND II Sneakers,Color,Moonlit Ocean-Navy Ink,Width,Medium,Size,13,194736776367,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c35540,Men's Generation ZERØGRAND II Sneakers,Color,Moonlit Ocean-Navy Ink,Width,Medium,Size,14,194736776374,,,Bambu City Center,0,0,0,0,0
c35540,Men's Generation ZERØGRAND II Sneakers,Color,Moonlit Ocean-Navy Ink,Width,Medium,Size,14,194736776374,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c35540,Men's Generation ZERØGRAND II Sneakers,Color,Moonlit Ocean-Navy Ink,Width,Medium,Size,15,194736776381,,,Bambu City Center,0,0,0,0,0
c35540,Men's Generation ZERØGRAND II Sneakers,Color,Moonlit Ocean-Navy Ink,Width,Medium,Size,15,194736776381,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c35540,Men's Generation ZERØGRAND II Sneakers,Color,Moonlit Ocean-Navy Ink,Width,Medium,Size,16,194736776398,,,Bambu City Center,0,0,0,0,0
c35540,Men's Generation ZERØGRAND II Sneakers,Color,Moonlit Ocean-Navy Ink,Width,Medium,Size,16,194736776398,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c35370,Men's 4.ZERØGRAND Oxfords,Color,Black-Ivory-Gum Stitchlite™,Width,Medium,Size,7.5,194736768621,,,Bambu City Center,0,0,0,0,0
c35370,Men's 4.ZERØGRAND Oxfords,Color,Black-Ivory-Gum Stitchlite™,Width,Medium,Size,7.5,194736768621,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c35370,Men's 4.ZERØGRAND Oxfords,Color,Black-Ivory-Gum Stitchlite™,Width,Medium,Size,8,194736768638,,,Bambu City Center,0,0,0,0,0
c35370,Men's 4.ZERØGRAND Oxfords,Color,Black-Ivory-Gum Stitchlite™,Width,Medium,Size,8,194736768638,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c35370,Men's 4.ZERØGRAND Oxfords,Color,Black-Ivory-Gum Stitchlite™,Width,Medium,Size,8.5,194736768645,,,Bambu City Center,0,0,0,0,0
c35370,Men's 4.ZERØGRAND Oxfords,Color,Black-Ivory-Gum Stitchlite™,Width,Medium,Size,8.5,194736768645,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c35370,Men's 4.ZERØGRAND Oxfords,Color,Black-Ivory-Gum Stitchlite™,Width,Medium,Size,9,194736768652,,,Bambu City Center,0,0,0,0,0
c35370,Men's 4.ZERØGRAND Oxfords,Color,Black-Ivory-Gum Stitchlite™,Width,Medium,Size,9,194736768652,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c35370,Men's 4.ZERØGRAND Oxfords,Color,Black-Ivory-Gum Stitchlite™,Width,Medium,Size,9.5,194736768669,,,Bambu City Center,0,0,0,0,0
c35370,Men's 4.ZERØGRAND Oxfords,Color,Black-Ivory-Gum Stitchlite™,Width,Medium,Size,9.5,194736768669,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c35370,Men's 4.ZERØGRAND Oxfords,Color,Black-Ivory-Gum Stitchlite™,Width,Medium,Size,10,194736768553,,,Bambu City Center,0,0,0,0,0
c35370,Men's 4.ZERØGRAND Oxfords,Color,Black-Ivory-Gum Stitchlite™,Width,Medium,Size,10,194736768553,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c35370,Men's 4.ZERØGRAND Oxfords,Color,Black-Ivory-Gum Stitchlite™,Width,Medium,Size,10.5,194736768560,,,Bambu City Center,0,0,0,0,0
c35370,Men's 4.ZERØGRAND Oxfords,Color,Black-Ivory-Gum Stitchlite™,Width,Medium,Size,10.5,194736768560,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c35370,Men's 4.ZERØGRAND Oxfords,Color,Black-Ivory-Gum Stitchlite™,Width,Medium,Size,11,194736768577,,,Bambu City Center,0,0,0,0,0
c35370,Men's 4.ZERØGRAND Oxfords,Color,Black-Ivory-Gum Stitchlite™,Width,Medium,Size,11,194736768577,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c35370,Men's 4.ZERØGRAND Oxfords,Color,Black-Ivory-Gum Stitchlite™,Width,Medium,Size,11.5,194736768584,,,Bambu City Center,0,0,0,0,0
c35370,Men's 4.ZERØGRAND Oxfords,Color,Black-Ivory-Gum Stitchlite™,Width,Medium,Size,11.5,194736768584,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c35370,Men's 4.ZERØGRAND Oxfords,Color,Black-Ivory-Gum Stitchlite™,Width,Medium,Size,12,194736768591,,,Bambu City Center,0,0,0,0,0
c35370,Men's 4.ZERØGRAND Oxfords,Color,Black-Ivory-Gum Stitchlite™,Width,Medium,Size,12,194736768591,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c35370,Men's 4.ZERØGRAND Oxfords,Color,Black-Ivory-Gum Stitchlite™,Width,Medium,Size,13,194736768607,,,Bambu City Center,0,0,0,0,0
c35370,Men's 4.ZERØGRAND Oxfords,Color,Black-Ivory-Gum Stitchlite™,Width,Medium,Size,13,194736768607,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c37188,Men's 4.ZERØGRAND Oxfords,Color,Truffle-Lapis Blue Stitchlite™,Width,Medium,Size,11.5,196414111248,,,Bambu City Center,0,0,0,0,0
c37188,Men's 4.ZERØGRAND Oxfords,Color,Truffle-Lapis Blue Stitchlite™,Width,Medium,Size,11.5,196414111248,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c37188,Men's 4.ZERØGRAND Oxfords,Color,Truffle-Lapis Blue Stitchlite™,Width,Medium,Size,12,196414111255,,,Bambu City Center,0,0,0,0,0
c37188,Men's 4.ZERØGRAND Oxfords,Color,Truffle-Lapis Blue Stitchlite™,Width,Medium,Size,12,196414111255,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c37188,Men's 4.ZERØGRAND Oxfords,Color,Truffle-Lapis Blue Stitchlite™,Width,Medium,Size,13,196414111262,,,Bambu City Center,0,0,0,0,0
c37188,Men's 4.ZERØGRAND Oxfords,Color,Truffle-Lapis Blue Stitchlite™,Width,Medium,Size,13,196414111262,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c37148,Men's Cole Haan x STAPLE 5.ZERØGRAND WRK Sneaker,Color,Fossil-Rose-Iron Gate,Width,Medium,Size,7.5,196414041286,,,Bambu City Center,0,0,0,0,0
c37148,Men's Cole Haan x STAPLE 5.ZERØGRAND WRK Sneaker,Color,Fossil-Rose-Iron Gate,Width,Medium,Size,7.5,196414041286,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c37148,Men's Cole Haan x STAPLE 5.ZERØGRAND WRK Sneaker,Color,Fossil-Rose-Iron Gate,Width,Medium,Size,8,196414041293,,,Bambu City Center,0,0,0,0,0
c37148,Men's Cole Haan x STAPLE 5.ZERØGRAND WRK Sneaker,Color,Fossil-Rose-Iron Gate,Width,Medium,Size,8,196414041293,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c37148,Men's Cole Haan x STAPLE 5.ZERØGRAND WRK Sneaker,Color,Fossil-Rose-Iron Gate,Width,Medium,Size,8.5,196414041309,,,Bambu City Center,0,0,0,0,0
c37148,Men's Cole Haan x STAPLE 5.ZERØGRAND WRK Sneaker,Color,Fossil-Rose-Iron Gate,Width,Medium,Size,8.5,196414041309,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c37148,Men's Cole Haan x STAPLE 5.ZERØGRAND WRK Sneaker,Color,Fossil-Rose-Iron Gate,Width,Medium,Size,9,196414041316,,,Bambu City Center,0,0,0,0,0
c37148,Men's Cole Haan x STAPLE 5.ZERØGRAND WRK Sneaker,Color,Fossil-Rose-Iron Gate,Width,Medium,Size,9,196414041316,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c37148,Men's Cole Haan x STAPLE 5.ZERØGRAND WRK Sneaker,Color,Fossil-Rose-Iron Gate,Width,Medium,Size,9.5,196414041323,,,Bambu City Center,0,0,0,0,0
c37148,Men's Cole Haan x STAPLE 5.ZERØGRAND WRK Sneaker,Color,Fossil-Rose-Iron Gate,Width,Medium,Size,9.5,196414041323,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c37148,Men's Cole Haan x STAPLE 5.ZERØGRAND WRK Sneaker,Color,Fossil-Rose-Iron Gate,Width,Medium,Size,10,196414041217,,,Bambu City Center,0,0,0,0,0
c37148,Men's Cole Haan x STAPLE 5.ZERØGRAND WRK Sneaker,Color,Fossil-Rose-Iron Gate,Width,Medium,Size,10,196414041217,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c37148,Men's Cole Haan x STAPLE 5.ZERØGRAND WRK Sneaker,Color,Fossil-Rose-Iron Gate,Width,Medium,Size,10.5,196414041224,,,Bambu City Center,0,0,0,0,0
c37148,Men's Cole Haan x STAPLE 5.ZERØGRAND WRK Sneaker,Color,Fossil-Rose-Iron Gate,Width,Medium,Size,10.5,196414041224,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c37148,Men's Cole Haan x STAPLE 5.ZERØGRAND WRK Sneaker,Color,Fossil-Rose-Iron Gate,Width,Medium,Size,11,196414041231,,,Bambu City Center,0,0,0,0,0
c37148,Men's Cole Haan x STAPLE 5.ZERØGRAND WRK Sneaker,Color,Fossil-Rose-Iron Gate,Width,Medium,Size,11,196414041231,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c37148,Men's Cole Haan x STAPLE 5.ZERØGRAND WRK Sneaker,Color,Fossil-Rose-Iron Gate,Width,Medium,Size,11.5,196414041248,,,Bambu City Center,0,0,0,0,0
c37148,Men's Cole Haan x STAPLE 5.ZERØGRAND WRK Sneaker,Color,Fossil-Rose-Iron Gate,Width,Medium,Size,11.5,196414041248,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c37148,Men's Cole Haan x STAPLE 5.ZERØGRAND WRK Sneaker,Color,Fossil-Rose-Iron Gate,Width,Medium,Size,12,196414041255,,,Bambu City Center,0,0,0,0,0
c37148,Men's Cole Haan x STAPLE 5.ZERØGRAND WRK Sneaker,Color,Fossil-Rose-Iron Gate,Width,Medium,Size,12,196414041255,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c37148,Men's Cole Haan x STAPLE 5.ZERØGRAND WRK Sneaker,Color,Fossil-Rose-Iron Gate,Width,Medium,Size,13,196414041262,,,Bambu City Center,0,0,0,0,0
c37148,Men's Cole Haan x STAPLE 5.ZERØGRAND WRK Sneaker,Color,Fossil-Rose-Iron Gate,Width,Medium,Size,13,196414041262,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c36983,Men's Generation ZERØGRAND II,Color,Dune-Dove-Angora,Width,Medium,Size,7.5,196414215601,,,Bambu City Center,0,0,0,0,0
c36983,Men's Generation ZERØGRAND II,Color,Dune-Dove-Angora,Width,Medium,Size,7.5,196414215601,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c36983,Men's Generation ZERØGRAND II,Color,Dune-Dove-Angora,Width,Medium,Size,8,196414215618,,,Bambu City Center,0,0,0,0,0
c36983,Men's Generation ZERØGRAND II,Color,Dune-Dove-Angora,Width,Medium,Size,8,196414215618,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c36983,Men's Generation ZERØGRAND II,Color,Dune-Dove-Angora,Width,Medium,Size,8.5,196414215625,,,Bambu City Center,0,0,0,0,0
c36983,Men's Generation ZERØGRAND II,Color,Dune-Dove-Angora,Width,Medium,Size,8.5,196414215625,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c36983,Men's Generation ZERØGRAND II,Color,Dune-Dove-Angora,Width,Medium,Size,9,196414215632,,,Bambu City Center,0,0,0,0,0
c36983,Men's Generation ZERØGRAND II,Color,Dune-Dove-Angora,Width,Medium,Size,9,196414215632,,,Cole Haan El Salvador,not stocked,not stocked,not stocked,not stocked,not stocked
c36983,Men's Generation ZERØGRAND II,Color,Dune-Dove-Angora,Width,Medium,Size,9.5,196414215649,,,Bambu City Center,0,0,0,0,0
