Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,DISRESAL: estilo (product.metafields.custom.estilo),DISRESAL: gender (product.metafields.custom.gender),Cole Haan: patternId (product.metafields.custom.patternid),Cole Haan: prod_section_features_label (product.metafields.custom.prod_section_features_label),Cole Haan: prod_section_short_description (product.metafields.custom.prod_section_short_description),Cole Haan: relatedProducts (product.metafields.custom.relatedproducts),Cole Haan: size_chart (product.metafields.custom.size_chart),Cole Haan: styleId (product.metafields.custom.styleid),DISRESAL: U_Categoria (product.metafields.custom.u_categoria),DISRESAL: U_Descrip_Color (product.metafields.custom.u_descrip_color),DISRESAL: U_Genero (product.metafields.custom.u_genero),DISRESAL: U_NEW (product.metafields.custom.u_new),DISRESAL: U_Segmento (product.metafields.custom.u_segmento),DISRESAL: U_Zone (product.metafields.custom.u_zone),DISRESAL: variante_producto (product.metafields.global.variante_producto),DISRESAL: variates_color (product.metafields.global.variates_color),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Grupo de edad (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Material del calzado (product.metafields.shopify.footwear-material),Talla del calzado (product.metafields.shopify.shoe-size),Sexo objetivo (product.metafields.shopify.target-gender),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / El Salvador,Price / El Salvador,Compare At Price / El Salvador,Status
w31289,,,,,,,,,Fog Green,,,Medium,,,8.5,,'196414510232,0.0,shopify,deny,manual,170.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,170.00,,
w31289,,,,,,,,,Fog Green,,,Medium,,,9,,'196414510249,0.0,shopify,deny,manual,170.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,170.00,,
w31289,,,,,,,,,Fog Green,,,Medium,,,9.5,,'196414510256,0.0,shopify,deny,manual,170.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,170.00,,
w31289,,,,,,,,,Fog Green,,,Medium,,,10,,'196414510133,0.0,shopify,deny,manual,170.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,170.00,,
w31289,,,,,,,,,Fog Green,,,Medium,,,10.5,,'196414510140,0.0,shopify,deny,manual,170.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,170.00,,
w31289,,,,,,,,,Fog Green,,,Medium,,,11,,'196414510157,0.0,shopify,deny,manual,170.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,170.00,,
w30796,Women's Chrisee Slide Sandals,"<ul>
<li>Fit: For moderate to narrow width feet, we recommend sizing down ½ size.</li>
<li>Leather upper in Green Lizard Print</li>
<li>FlowerFoam™ outsole made with over 25 percent dandelion rubber</li>
<li>Cushioned Grandfeel footbed with extra padding at the heel</li>
<li>Leather responsibly sourced through Leather Working Group</li>
</ul>",Cole Haan El Salvador,,Sandals,"FOOTWEAR, GREEN JACKET LIZARD PTR LTR, Old, OTHER, WFW",true,Color,Green Lizard Print,,Width,Medium,,Size,5,,'196414446135,0.0,shopify,deny,manual,170.00,,true,true,,https://cdn.shopify.com/s/files/1/0607/7975/7753/files/BaseTransform1_2583fb4d-06d2-4044-a10f-1428dc3606b4.jpg?v=1726074645,1,W30796:GREEN JACKET LIZARD PTR LTR,false,,,,,,,,,,,,,,u06463,,,,,,,,WFW,GREEN JACKET LIZARD PTR LTR,,,FOOTWEAR,OTHER,,,,,,,,,,kg,,,true,170.00,,active
w30796,,,,,,,,,Green Lizard Print,,,Medium,,,5.5,,'196414446142,0.0,shopify,deny,manual,170.00,,true,true,,https://cdn.shopify.com/s/files/1/0607/7975/7753/files/BaseTransform1_1e9ab1b9-ea03-48b7-9a96-3be14fd87969.jpg?v=1726074645,2,W30796:GREEN JACKET LIZARD PTR LTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,170.00,,
w30796,,,,,,,,,Green Lizard Print,,,Medium,,,6,,'196414446159,0.0,shopify,deny,manual,170.00,,true,true,,https://cdn.shopify.com/s/files/1/0607/7975/7753/files/BaseTransform1_a5600141-c5eb-46da-8023-2e76614cb0d1.jpg?v=1726074645,3,W30796:GREEN JACKET LIZARD PTR LTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,170.00,,
w30796,,,,,,,,,Green Lizard Print,,,Medium,,,6.5,,'196414446166,0.0,shopify,deny,manual,170.00,,true,true,,https://cdn.shopify.com/s/files/1/0607/7975/7753/files/BaseTransform1_312404bf-570c-4169-8e3f-3a4755c5363e.jpg?v=1726074645,4,W30796:GREEN JACKET LIZARD PTR LTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,170.00,,
w30796,,,,,,,,,Green Lizard Print,,,Medium,,,7,,'196414446173,0.0,shopify,deny,manual,170.00,,true,true,,https://cdn.shopify.com/s/files/1/0607/7975/7753/files/BaseTransform1_e536a6e1-d311-4503-8499-b63b402ac161.jpg?v=1726074645,5,W30796:GREEN JACKET LIZARD PTR LTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,170.00,,
w30796,,,,,,,,,Green Lizard Print,,,Medium,,,7.5,,'196414446180,0.0,shopify,deny,manual,170.00,,true,true,,https://cdn.shopify.com/s/files/1/0607/7975/7753/files/BaseTransform1_4614a519-1a6f-432f-8c08-3b5df18ba7d6.jpg?v=1726074645,6,W30796:GREEN JACKET LIZARD PTR LTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,170.00,,
w30796,,,,,,,,,Green Lizard Print,,,Medium,,,8,,'196414446197,0.0,shopify,deny,manual,170.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,170.00,,
w30796,,,,,,,,,Green Lizard Print,,,Medium,,,8.5,,'196414446203,0.0,shopify,deny,manual,170.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,170.00,,
w30796,,,,,,,,,Green Lizard Print,,,Medium,,,9,,'196414446210,0.0,shopify,deny,manual,170.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,170.00,,
w30796,,,,,,,,,Green Lizard Print,,,Medium,,,9.5,,'196414446227,0.0,shopify,deny,manual,170.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,170.00,,
